title,tags
Tombstone,earp town marshal notorious pal doc holliday gang renegade forced Action  Adventure  Drama  History  Western buena noventas media GeorgeP.Cosmatos KurtRussell
True Romance,marries hooker alabama steal cocaine pimp try hollywood owner coke Action  Thriller  Crime  Romance buena noventas media TonyScott ChristianSlater
Home Alone,kevin kevins stand family unwittingly vacation pair bungling mother attempt race Comedy  Family buena noventas corta ChrisColumbus MacaulayCulkin
Ghost,carl carls molly business sam help psychic oda mae brown madly Fantasy  Drama  Thriller  Mystery  Romance buena noventas media JerryZucker PatrickSwayze
Aladdin,jasmine grows tired forced remain palace sneak marketplace disguise meet Animation  Family  Comedy  Adventure  Fantasy  Romance buena noventas corta RonClements ScottWeinger
Terminator 2: Judgment Day,year passed nearly protector mother connor son john save newer Action  Thriller  Science Fiction buena noventas media JamesCameron ArnoldSchwarzenegger
Dances with Wolves,wounded civil war soldier john dunbar try commit suicide instead Adventure  Drama  Western buena noventas larga KevinCostner KevinCostner
Batman,gothams knight gotham city begin war enemy clownishly homicidal joker seized Fantasy  Action buena ochentas media TimBurton JackNicholson
The Silence of the Lambs,killer lecter trainee clarice starling soon lead capture asylum pick Crime  Drama  Thriller excelente noventas corta JonathanDemme JodieFoster
Snow White and the Seven Dwarfs,beauty beautiful girl snow white forest house seven dwarf hide fairest Fantasy  Animation  Family buena treintas corta DavidHand AdrianaCaselotti
Beauty and the Beast,"castle adventure belle young lesson true beauty mysterious beast help Romance  Family  Animation  Fantasy  Music buena noventas corta GaryTrousdale ""PaigeOHara"""
Pinocchio,pinocchio geppettos geppetto wish right wrong set adventure woodenhead slowly learns Animation  Family buena cuarentas corta HamiltonLuske MelBlanc
Pretty Woman,edward vivian makeover return favor mellowing prostitute rich capitalist live Romance  Comedy buena noventas corta GarryMarshall JuliaRoberts
Fargo,jerry smalltown minnesota car salesman bursting seam debt investigator investigative ransom Crime  Drama  Thriller buena noventas corta JoelCoen WilliamH.Macy
The Aristocats,cat bonfamilles adelaide bonfamille kidnaps heir leaving country aristocatss wily thomas Animation  Comedy  Family  Adventure buena setentas corta WolfgangReitherman PhilHarris
Primal Fear,arrogant highpowered attorney complex accused away scene murder case poor Crime  Drama  Mystery  Thriller buena noventas media GregoryHoblit RichardGere
